index, pos_x, pos_y, pos_z, size_x, size_y, size_z
416,56.108,3.0,-345.7802,4.0,0.03,3.2
417,277.9168,3.0,-129.2034,4.0,0.03,3.2
418,299.3164,3.0,-357.3828,4.0,0.03,3.2
419,-213.0211,3.0,61.5803,4.0,0.03,3.2
420,-253.7018,3.0,-280.6445,4.0,0.03,3.2
421,-73.3666,3.0,426.1559,4.0,0.03,3.2
422,316.3727,3.0,361.905,4.0,0.03,3.2
423,-244.9961,3.0,-369.302,4.0,0.03,3.2
424,271.3319,3.0,99.7305,4.0,0.03,3.2
425,659.964,3.0,6.8032,4.0,0.03,3.2
426,-481.8227,3.0,302.3685,4.0,0.03,3.2
427,-644.5652,3.0,37.6325,4.0,0.03,3.2
428,-574.8574,3.0,-248.0841,4.0,0.03,3.2
429,244.1452,3.0,-52.7541,4.0,0.03,3.2
430,-39.4063,3.0,152.3516,4.0,0.03,3.2
431,-23.0117,3.0,-522.392,4.0,0.03,3.2
432,437.8472,3.0,325.3138,4.0,0.03,3.2
433,-614.4227,3.0,117.9962,4.0,0.03,3.2
434,-625.457,3.0,-161.1167,4.0,0.03,3.2
435,-559.0421,3.0,178.7156,4.0,0.03,3.2
436,42.0042,3.0,217.8654,4.0,0.03,3.2
437,97.3688,3.0,144.8456,4.0,0.03,3.2
438,338.0378,3.0,-342.2112,4.0,0.03,3.2
439,506.8696,3.0,203.9942,4.0,0.03,3.2
440,-404.5746,3.0,-427.7871,4.0,0.03,3.2
441,-489.4316,3.0,252.9799,4.0,0.03,3.2
442,236.5567,3.0,368.0783,4.0,0.03,3.2
443,434.7913,3.0,-301.5827,4.0,0.03,3.2
444,-270.8953,3.0,350.2161,4.0,0.03,3.2
445,487.473,3.0,-411.8502,4.0,0.03,3.2
446,525.3194,3.0,73.0471,4.0,0.03,3.2
447,345.8458,3.0,313.6431,4.0,0.03,3.2
448,559.4748,3.0,217.9605,4.0,0.03,3.2
449,-38.9991,3.0,-164.2508,4.0,0.03,3.2
450,599.5004,3.0,41.1517,4.0,0.03,3.2
451,511.5387,3.0,192.1588,4.0,0.03,3.2
452,-390.3539,3.0,365.0711,4.0,0.03,3.2
453,-160.6491,3.0,478.2069,4.0,0.03,3.2
454,-25.7849,3.0,255.6707,4.0,0.03,3.2
455,-44.0489,3.0,230.0509,4.0,0.03,3.2
456,138.0096,3.0,204.4812,4.0,0.03,3.2
457,290.0906,3.0,-186.5276,4.0,0.03,3.2
458,-637.8333,3.0,-100.7181,4.0,0.03,3.2
459,-100.2262,3.0,41.497,4.0,0.03,3.2
460,209.1834,3.0,-398.9569,4.0,0.03,3.2
461,181.8734,3.0,134.7845,4.0,0.03,3.2
462,-184.1503,3.0,-137.6559,4.0,0.03,3.2
463,-275.0756,3.0,-187.5307,4.0,0.03,3.2
464,-401.842,3.0,96.4005,4.0,0.03,3.2
465,-121.4198,3.0,-598.9205,4.0,0.03,3.2
466,223.1081,3.0,458.498,4.0,0.03,3.2
467,-461.9943,3.0,-80.3792,4.0,0.03,3.2
468,277.2056,3.0,305.3238,4.0,0.03,3.2
469,227.4744,3.0,162.616,4.0,0.03,3.2
470,255.7702,3.0,29.0744,4.0,0.03,3.2
471,-221.6844,3.0,56.4047,4.0,0.03,3.2
472,-123.5611,3.0,442.6906,4.0,0.03,3.2
473,373.8301,3.0,-178.0603,4.0,0.03,3.2
474,-22.2334,3.0,-139.2781,4.0,0.03,3.2
475,516.6167,3.0,266.4881,4.0,0.03,3.2
476,-448.7138,3.0,320.5959,4.0,0.03,3.2
477,-170.128,3.0,-83.051,4.0,0.03,3.2
478,304.1397,3.0,372.0081,4.0,0.03,3.2
479,-483.5475,3.0,-25.8864,4.0,0.03,3.2
480,131.9871,3.0,475.2856,4.0,0.03,3.2
481,181.8431,3.0,112.6524,4.0,0.03,3.2
482,184.4852,3.0,-380.9788,4.0,0.03,3.2
